hex_id,total_population
89411cb61b7ffff,375.0
89411cb612fffff,375.0
89411cb6cc7ffff,375.0
89411cb61abffff,375.0
89411cb6117ffff,375.0
89410379623ffff,375.0
89411cb6dafffff,375.0
89411cb6d9bffff,375.0
89411cb6abbffff,375.0
8941037900bffff,375.0
894103793cfffff,375.0
8941037930fffff,375.0
89411cb6c73ffff,375.0
89411cb69dbffff,375.0
8941037922fffff,375.0
8941037905bffff,375.0
89410379c4fffff,375.0
89411cb6d13ffff,375.0
89411cb6d8fffff,375.0
89411cb688fffff,375.0
89410379e3bffff,375.0
89410379e4bffff,375.0
89411cb6893ffff,375.0
89411cb6d8bffff,375.0
89411cb6d47ffff,375.0
89410379a83ffff,375.0
89411cb6adbffff,375.0
89411cb6a1bffff,375.0
89411cb6e2bffff,375.0
89411cb69d3ffff,375.0
89410379353ffff,375.0
89411cb6cb3ffff,375.0
89410379ad3ffff,375.0
89411cb69cbffff,375.0
89411cb6d03ffff,375.0
89411cb6827ffff,375.0
89411cb6dc7ffff,375.0
89411cb6837ffff,375.0
89411cb6887ffff,375.0
89411cb6c27ffff,375.0
89411cb685bffff,375.0
89411cb6ddbffff,375.0
89411cb6c23ffff,375.0
89411cb680bffff,375.0
89411cb68d3ffff,375.0
89411cb6c1bffff,375.0
894103793cbffff,375.0
8941037931bffff,375.0
89411cb6a93ffff,375.0
89411cb6e73ffff,375.0
89411cb6ebbffff,375.0
89411cb6c83ffff,375.0
89411cb6c0fffff,375.0
89411cb6c4bffff,375.0
89411cb6dbbffff,375.0
89411cb45a7ffff,375.0
89411cb6197ffff,375.0
89411cb6e37ffff,375.0
89411cb6ab3ffff,375.0
89411cb6d7bffff,375.0
89411cb61d7ffff,375.0
89411cb6567ffff,375.0
89411cb6193ffff,375.0
89411cb618bffff,375.0
89410379243ffff,375.0
8941037920fffff,375.0
89411cb6eabffff,375.0
89410379203ffff,375.0
894103792a3ffff,375.0
89410379267ffff,375.0
89411cb6ad3ffff,375.0
89411cb6cd3ffff,375.0
89411cb6e63ffff,375.0
89411cb61d3ffff,375.0
89411cb60a3ffff,375.0
89411cb4557ffff,375.0
89411cb60b7ffff,375.0
89411cb6ea3ffff,375.0
89410379e7bffff,375.0
894103792a7ffff,375.0
89410379ebbffff,375.0
89410379e4fffff,375.0
89410379e77ffff,375.0
89410379ac7ffff,375.0
89410379c63ffff,375.0
89411cb61a7ffff,375.0
894103795c7ffff,375.0
89411cb6aa3ffff,375.0
8941037935bffff,375.0
8941037904fffff,375.0
894103793d3ffff,375.0
89410379233ffff,375.0
89411cb6c97ffff,375.0
8941037962bffff,375.0
89411cb6c87ffff,375.0
89411cb68cfffff,375.0
8941037927bffff,375.0
89411cb6acfffff,375.0
89411cb6a8bffff,375.0
89410379e73ffff,375.0
89410379e03ffff,375.0
894103798d3ffff,375.0
89410379e87ffff,375.0
89411cb6e3bffff,375.0
89411cb6eafffff,375.0
89411cb684bffff,375.0
89411cb68dbffff,375.0
89410379363ffff,375.0
894103786d7ffff,375.0
894103793c3ffff,375.0
89411cb6dd3ffff,375.0
89411cb6cd7ffff,375.0
89410379e67ffff,375.0
89411cb6c6bffff,375.0
89411cb6cafffff,375.0
89411cb683bffff,375.0
89411cb695bffff,375.0
89410379ec7ffff,375.0
89411cb6db3ffff,375.0
89410379e47ffff,375.0
89410379327ffff,375.0
89411cb69c3ffff,375.0
89411cb6d77ffff,375.0
89411cb688bffff,375.0
89411cb6c67ffff,375.0
89410379047ffff,375.0
89411cb6cb7ffff,375.0
89410379e57ffff,375.0
89411cb6823ffff,375.0
89410379e0fffff,375.0
89411cb6dabffff,375.0
89410379e0bffff,375.0
89410379eafffff,375.0
89410379e8fffff,375.0
89410379e13ffff,375.0
89411cb6953ffff,375.0
89411cb6dc3ffff,375.0
89410379e63ffff,375.0
89411cb6833ffff,375.0
89411cb6d73ffff,375.0
89411cb6c5bffff,375.0
89411cb4517ffff,375.0
89411cb6e2fffff,375.0
89411cb6c8fffff,375.0
89411cb6ad7ffff,375.0
89410379627ffff,375.0
89411cb6cc3ffff,375.0
89410379e1bffff,375.0
89410379227ffff,375.0
89410379ecbffff,375.0
89410379303ffff,375.0
89411cb6dd7ffff,375.0
89411cb6d43ffff,375.0
89411cb6c6fffff,375.0
89411cb6c2fffff,375.0
89411cb68afffff,375.0
89411cb657bffff,375.0
89411cb6547ffff,375.0
89411cb61c7ffff,375.0
89411cb450fffff,375.0
89410379367ffff,375.0
89411cb45bbffff,375.0
89410379677ffff,375.0
89411cb68a3ffff,375.0
89411cb6537ffff,375.0
89411cb682bffff,375.0
89411cb6d6bffff,375.0
89411cb6d4bffff,375.0
8941037937bffff,375.0
89411cb6acbffff,375.0
89411cb6183ffff,375.0
89411cb61b3ffff,375.0
89410379217ffff,375.0
89411cb6e7bffff,375.0
89411cb6ac7ffff,375.0
89411cb6e6fffff,375.0
89411cb452fffff,375.0
89410379273ffff,375.0
89411cb4523ffff,375.0
89410379347ffff,375.0
89411cb6d0fffff,375.0
89410379323ffff,375.0
89410379e43ffff,375.0
89411cb6da3ffff,375.0
89411cb6d87ffff,375.0
89411cb6d63ffff,375.0
89410379257ffff,375.0
89411cb6d37ffff,375.0
89411cb6d33ffff,375.0
89410379ea3ffff,375.0
89410379e37ffff,375.0
89410379acbffff,375.0
89411cb6877ffff,375.0
89411cb68abffff,375.0
89411cb68b7ffff,375.0
89410379e5bffff,375.0
89411cb6dcfffff,375.0
89411cb6ca7ffff,375.0
89411cb6803ffff,375.0
89410379e2fffff,375.0
89411cb6c93ffff,375.0
89411cb6c77ffff,375.0
